muni,state,muni_fines,state_fines
Mar de Espanha,MG,MAR DE ESPANHA,MG
Maravilhas,MG,MARAVILHAS,MG
Maria da Fé,MG,MARIA DA FE,MG
Mariana,MG,MARIANA,MG
Marilac,MG,MARILAC,MG
Mário Campos,MG,MARIO CAMPOS,MG
Maripá de Minas,MG,MARIPA DE MINAS,MG
Marliéria,MG,MARLIERIA,MG
Marmelópolis,MG,MARMELOPOLIS,MG
Martinho Campos,MG,MARTINHO CAMPOS,MG
Martins Soares,MG,MARTINS SOARES,MG
Mata Verde,MG,MATA VERDE,MG
Materlândia,MG,MATERLANDIA,MG
Mateus Leme,MG,MATEUS LEME,MG
Mathias Lobato,MG,MATHIAS LOBATO,MG
Matias Barbosa,MG,MATIAS BARBOSA,MG
Matias Cardoso,MG,MATIAS CARDOSO,MG
Matipó,MG,MATIPO,MG
Mato Verde,MG,MATO VERDE,MG
Matozinhos,MG,MATOZINHOS,MG
Matutina,MG,MATUTINA,MG
Medeiros,MG,MEDEIROS,MG
Medina,MG,MEDINA,MG
Mendes Pimentel,MG,MENDES PIMENTEL,MG
Mercês,MG,MERCES,MG
Mesquita,MG,MESQUITA,MG
Minas Novas,MG,MINAS NOVAS,MG
Minduri,MG,MINDURI,MG
Mirabela,MG,MIRABELA,MG
Miradouro,MG,MIRADOURO,MG
Miraí,MG,MIRAI,MG
Miravânia,MG,MIRAVANIA,MG
Moeda,MG,MOEDA,MG
Moema,MG,MOEMA,MG
Monjolos,MG,MONJOLOS,MG
Monsenhor Paulo,MG,MONSENHOR PAULO,MG
Montalvânia,MG,MONTALVANIA,MG
Monte Alegre de Minas,MG,MONTE ALEGRE DE MINAS,MG
Monte Azul,MG,MONTE AZUL,MG
Monte Belo,MG,MONTE BELO,MG
Monte Carmelo,MG,MONTE CARMELO,MG
Monte Formoso,MG,MONTE FORMOSO,MG
Monte Santo de Minas,MG,MONTE SANTO DE MINAS,MG
Monte Sião,MG,MONTE SIAO,MG
Montes Claros,MG,MONTES CLAROS,MG
Montezuma,MG,MONTEZUMA,MG
Morada Nova de Minas,MG,MORADA NOVA DE MINAS,MG
Morro da Garça,MG,MORRO DA GARCA,MG
Morro do Pilar,MG,MORRO DO PILAR,MG
Munhoz,MG,MUNHOZ,MG
Muriaé,MG,MURIAE,MG
Mutum,MG,MUTUM,MG
Muzambinho,MG,MUZAMBINHO,MG
Nacip Raydan,MG,NACIP RAYDAN,MG
Nanuque,MG,NANUQUE,MG
Naque,MG,NAQUE,MG
Natalândia,MG,NATALANDIA,MG
Natércia,MG,NATERCIA,MG
Nazareno,MG,NAZARENO,MG
Nepomuceno,MG,NEPOMUCENO,MG
Ninheira,MG,NINHEIRA,MG
Nova Belém,MG,NOVA BELEM,MG
Nova Era,MG,NOVA ERA,MG
Nova Lima,MG,NOVA LIMA,MG
Nova Módica,MG,NOVA MODICA,MG
Nova Ponte,MG,NOVA PONTE,MG
Nova Porteirinha,MG,NOVA PORTEIRINHA,MG
Nova Resende,MG,NOVA RESENDE,MG
Nova Serrana,MG,NOVA SERRANA,MG
Nova União,MG,NOVA UNIAO,MG
Novo Cruzeiro,MG,NOVO CRUZEIRO,MG
Novo Oriente de Minas,MG,NOVO ORIENTE DE MINAS,MG
Novorizonte,MG,NOVORIZONTE,MG
Olaria,MG,OLARIA,MG
Olhos-d'Água,MG,OLHOS-D'AGUA,MG
Olímpio Noronha,MG,OLIMPIO NORONHA,MG
Oliveira,MG,OLIVEIRA,MG
Oliveira Fortes,MG,OLIVEIRA FORTES,MG
Onça de Pitangui,MG,ONCA DE PITANGUI,MG
Oratórios,MG,ORATORIOS,MG
Orizânia,MG,ORIZANIA,MG
Ouro Branco,MG,OURO BRANCO,MG
Ouro Fino,MG,OURO FINO,MG
Ouro Preto,MG,OURO PRETO,MG
Ouro Verde de Minas,MG,OURO VERDE DE MINAS,MG
Padre Carvalho,MG,PADRE CARVALHO,MG
Padre Paraíso,MG,PADRE PARAISO,MG
Pai Pedro,MG,PAI PEDRO,MG
Paineiras,MG,PAINEIRAS,MG
Pains,MG,PAINS,MG
Paiva,MG,PAIVA,MG
Palma,MG,PALMA,MG
Palmópolis,MG,PALMOPOLIS,MG
Papagaios,MG,PAPAGAIOS,MG
Pará de Minas,MG,PARA DE MINAS,MG
Paracatu,MG,PARACATU,MG
Paraguaçu,MG,PARAGUACU,MG
Paraisópolis,MG,PARAISOPOLIS,MG
Paraopeba,MG,PARAOPEBA,MG
Passa Quatro,MG,PASSA QUATRO,MG
Passa Tempo,MG,PASSA TEMPO,MG
Passa Vinte,MG,PASSA-VINTE,MG
Passabém,MG,PASSABEM,MG
Passos,MG,PASSOS,MG
Patis,MG,PATIS,MG
Patos de Minas,MG,PATOS DE MINAS,MG
Patrocínio,MG,PATROCINIO,MG
Patrocínio do Muriaé,MG,PATROCINIO DO MURIAE,MG
Paula Cândido,MG,PAULA CANDIDO,MG
Paulistas,MG,PAULISTAS,MG
Pavão,MG,PAVAO,MG
Peçanha,MG,PECANHA,MG
Pedra Azul,MG,PEDRA AZUL,MG
Pedra Bonita,MG,PEDRA BONITA,MG
Pedra do Anta,MG,PEDRA DO ANTA,MG
Pedra do Indaiá,MG,PEDRA DO INDAIA,MG
Pedra Dourada,MG,PEDRA DOURADA,MG
Pedralva,MG,PEDRALVA,MG
Pedras de Maria da Cruz,MG,PEDRAS DE MARIA DA CRUZ,MG
Pedrinópolis,MG,PEDRINOPOLIS,MG
Pedro Leopoldo,MG,PEDRO LEOPOLDO,MG
Pedro Teixeira,MG,PEDRO TEIXEIRA,MG
Pequeri,MG,PEQUERI,MG
Pequi,MG,PEQUI,MG
Perdigão,MG,PERDIGAO,MG
Perdizes,MG,PERDIZES,MG
Perdões,MG,PERDOES,MG
Periquito,MG,PERIQUITO,MG
Pescador,MG,PESCADOR,MG
Piau,MG,PIAU,MG
Piedade de Caratinga,MG,PIEDADE DE CARATINGA,MG
Piedade de Ponte Nova,MG,PIEDADE DE PONTE NOVA,MG
Piedade do Rio Grande,MG,PIEDADE DO RIO GRANDE,MG
Piedade dos Gerais,MG,PIEDADE DOS GERAIS,MG
Pimenta,MG,PIMENTA,MG
Pingo-d'Água,MG,PINGO-D'AGUA,MG
Pintópolis,MG,PINTOPOLIS,MG
Piracema,MG,PIRACEMA,MG
Pirajuba,MG,PIRAJUBA,MG
Piranga,MG,PIRANGA,MG
Piranguçu,MG,PIRANGUCU,MG
Piranguinho,MG,PIRANGUINHO,MG
Pirapetinga,MG,PIRAPETINGA,MG
Pirapora,MG,PIRAPORA,MG
Piraúba,MG,PIRAUBA,MG
Pitangui,MG,PITANGUI,MG
Piumhi,MG,PIUMHI,MG
Planura,MG,PLANURA,MG
Poço Fundo,MG,POCO FUNDO,MG
Poços de Caldas,MG,POCOS DE CALDAS,MG
Pocrane,MG,POCRANE,MG
Pompéu,MG,POMPEU,MG
Ponte Nova,MG,PONTE NOVA,MG
Ponto Chique,MG,PONTO CHIQUE,MG
Ponto dos Volantes,MG,PONTO DOS VOLANTES,MG
Porteirinha,MG,PORTEIRINHA,MG
Porto Firme,MG,PORTO FIRME,MG
Poté,MG,POTE,MG
Pouso Alegre,MG,POUSO ALEGRE,MG
Pouso Alto,MG,POUSO ALTO,MG
Prados,MG,PRADOS,MG
Prata,MG,PRATA,MG
Pratápolis,MG,PRATAPOLIS,MG
Pratinha,MG,PRATINHA,MG
Presidente Bernardes,MG,PRESIDENTE BERNARDES,MG
Presidente Juscelino,MG,PRESIDENTE JUSCELINO,MG
Presidente Kubitschek,MG,PRESIDENTE KUBITSCHEK,MG
Presidente Olegário,MG,PRESIDENTE OLEGARIO,MG
Prudente de Morais,MG,PRUDENTE DE MORAIS,MG
Quartel Geral,MG,QUARTEL GERAL,MG
Queluzito,MG,QUELUZITO,MG
Raposos,MG,RAPOSOS,MG
Raul Soares,MG,RAUL SOARES,MG
Recreio,MG,RECREIO,MG
Reduto,MG,REDUTO,MG
Resende Costa,MG,RESENDE COSTA,MG
Resplendor,MG,RESPLENDOR,MG
Ressaquinha,MG,RESSAQUINHA,MG
Riachinho,MG,RIACHINHO,MG
Riacho dos Machados,MG,RIACHO DOS MACHADOS,MG
Ribeirão das Neves,MG,RIBEIRAO DAS NEVES,MG
Ribeirão Vermelho,MG,RIBEIRAO VERMELHO,MG
Rio Acima,MG,RIO ACIMA,MG
Rio Casca,MG,RIO CASCA,MG
Rio do Prado,MG,RIO DO PRADO,MG
Rio Doce,MG,RIO DOCE,MG
Rio Espera,MG,RIO ESPERA,MG
Rio Manso,MG,RIO MANSO,MG
Rio Novo,MG,RIO NOVO,MG
Rio Paranaíba,MG,RIO PARANAIBA,MG
Rio Pardo de Minas,MG,RIO PARDO DE MINAS,MG
Rio Piracicaba,MG,RIO PIRACICABA,MG
Rio Pomba,MG,RIO POMBA,MG
Rio Preto,MG,RIO PRETO,MG
Rio Vermelho,MG,RIO VERMELHO,MG
Ritápolis,MG,RITAPOLIS,MG
Rochedo de Minas,MG,ROCHEDO DE MINAS,MG
Rodeiro,MG,RODEIRO,MG
Romaria,MG,ROMARIA,MG
Rosário da Limeira,MG,ROSARIO DA LIMEIRA,MG
Rubelita,MG,RUBELITA,MG
Rubim,MG,RUBIM,MG
Sabará,MG,SABARA,MG
Sabinópolis,MG,SABINOPOLIS,MG
Sacramento,MG,SACRAMENTO,MG
Salinas,MG,SALINAS,MG
Salto da Divisa,MG,SALTO DA DIVISA,MG
Santa Bárbara,MG,SANTA BARBARA,MG
Santa Bárbara do Leste,MG,SANTA BARBARA DO LESTE,MG
Santa Bárbara do Monte Verde,MG,SANTA BARBARA DO MONTE VERDE,MG
Santa Bárbara do Tugúrio,MG,SANTA BARBARA DO TUGURIO,MG
Santa Cruz de Minas,MG,SANTA CRUZ DE MINAS,MG
Santa Cruz de Salinas,MG,SANTA CRUZ DE SALINAS,MG
Santa Cruz do Escalvado,MG,SANTA CRUZ DO ESCALVADO,MG
Santa Efigênia de Minas,MG,SANTA EFIGENIA DE MINAS,MG
Santa Fé de Minas,MG,SANTA FE DE MINAS,MG
Santa Helena de Minas,MG,SANTA HELENA DE MINAS,MG
Santa Juliana,MG,SANTA JULIANA,MG
Santa Luzia,MG,SANTA LUZIA,MG
Santa Margarida,MG,SANTA MARGARIDA,MG
Santa Maria de Itabira,MG,SANTA MARIA DE ITABIRA,MG
Santa Maria do Salto,MG,SANTA MARIA DO SALTO,MG
Santa Maria do Suaçuí,MG,SANTA MARIA DO SUACUI,MG
Santa Rita de Caldas,MG,SANTA RITA DE CALDAS,MG
Santa Rita de Ibitipoca,MG,SANTA RITA DE IBITIPOCA,MG
Santa Rita de Jacutinga,MG,SANTA RITA DE JACUTINGA,MG
Santa Rita de Minas,MG,SANTA RITA DE MINAS,MG
Santa Rita do Itueto,MG,SANTA RITA DO ITUETO,MG
Santa Rita do Sapucaí,MG,SANTA RITA DO SAPUCAI,MG
Santa Rosa da Serra,MG,SANTA ROSA DA SERRA,MG
Santa Vitória,MG,SANTA VITORIA,MG
Santana da Vargem,MG,SANTANA DA VARGEM,MG
Santana de Cataguases,MG,SANTANA DE CATAGUASES,MG
Santana de Pirapama,MG,SANTANA DE PIRAPAMA,MG
Santana do Deserto,MG,SANTANA DO DESERTO,MG
Santana do Garambéu,MG,SANTANA DO GARAMBEU,MG
Santana do Jacaré,MG,SANTANA DO JACARE,MG
Santana do Manhuaçu,MG,SANTANA DO MANHUACU,MG
Santana do Paraíso,MG,SANTANA DO PARAISO,MG
Santana do Riacho,MG,SANTANA DO RIACHO,MG
Santana dos Montes,MG,SANTANA DOS MONTES,MG
Santo Antônio do Amparo,MG,SANTO ANTONIO DO AMPARO,MG
Santo Antônio do Aventureiro,MG,SANTO ANTONIO DO AVENTUREIRO,MG
Santo Antônio do Grama,MG,SANTO ANTONIO DO GRAMA,MG
Santo Antônio do Itambé,MG,SANTO ANTONIO DO ITAMBE,MG
Santo Antônio do Jacinto,MG,SANTO ANTONIO DO JACINTO,MG
Santo Antônio do Monte,MG,SANTO ANTONIO DO MONTE,MG
Santo Antônio do Retiro,MG,SANTO ANTONIO DO RETIRO,MG
Santo Antônio do Rio Abaixo,MG,SANTO ANTONIO DO RIO ABAIXO,MG
Santo Hipólito,MG,SANTO HIPOLITO,MG
Santos Dumont,MG,SANTOS DUMONT,MG
São Bento Abade,MG,SAO BENTO ABADE,MG
São Brás do Suaçuí,MG,SAO BRAS DO SUACUI,MG
São Domingos das Dores,MG,SAO DOMINGOS DAS DORES,MG
São Domingos do Prata,MG,SAO DOMINGOS DO PRATA,MG
São Félix de Minas,MG,SAO FELIX DE MINAS,MG
São Francisco,MG,SAO FRANCISCO,MG
São Francisco de Paula,MG,SAO FRANCISCO DE PAULA,MG
São Francisco de Sales,MG,SAO FRANCISCO DE SALES,MG
São Francisco do Glória,MG,SAO FRANCISCO DO GLORIA,MG
São Geraldo,MG,SAO GERALDO,MG
São Geraldo da Piedade,MG,SAO GERALDO DA PIEDADE,MG
São Geraldo do Baixio,MG,SAO GERALDO DO BAIXIO,MG
São Gonçalo do Abaeté,MG,SAO GONCALO DO ABAETE,MG
São Gonçalo do Pará,MG,SAO GONCALO DO PARA,MG
São Gonçalo do Rio Abaixo,MG,SAO GONCALO DO RIO ABAIXO,MG
São Gonçalo do Rio Preto,MG,SAO GONCALO DO RIO PRETO,MG
São Gonçalo do Sapucaí,MG,SAO GONCALO DO SAPUCAI,MG
São Gotardo,MG,SAO GOTARDO,MG
São João Batista do Glória,MG,SAO JOAO BATISTA DO GLORIA,MG
São João da Lagoa,MG,SAO JOAO DA LAGOA,MG
São João da Mata,MG,SAO JOAO DA MATA,MG
São João da Ponte,MG,SAO JOAO DA PONTE,MG
São João das Missões,MG,SAO JOAO DAS MISSOES,MG
São João del Rei,MG,SAO JOAO DEL REI,MG
São João do Manhuaçu,MG,SAO JOAO DO MANHUACU,MG
São João do Manteninha,MG,SAO JOAO DO MANTENINHA,MG
São João do Oriente,MG,SAO JOAO DO ORIENTE,MG
São João do Pacuí,MG,SAO JOAO DO PACUI,MG
São João do Paraíso,MG,SAO JOAO DO PARAISO,MG
São João Evangelista,MG,SAO JOAO EVANGELISTA,MG
São João Nepomuceno,MG,SAO JOAO NEPOMUCENO,MG
São Joaquim de Bicas,MG,SAO JOAQUIM DE BICAS,MG
São José da Barra,MG,SAO JOSE DA BARRA,MG
São José da Lapa,MG,SAO JOSE DA LAPA,MG
São José da Safira,MG,SAO JOSE DA SAFIRA,MG
São José da Varginha,MG,SAO JOSE DA VARGINHA,MG
São José do Alegre,MG,SAO JOSE DO ALEGRE,MG
São José do Divino,MG,SAO JOSE DO DIVINO,MG
São José do Goiabal,MG,SAO JOSE DO GOIABAL,MG
São José do Jacuri,MG,SAO JOSE DO JACURI,MG
São José do Mantimento,MG,SAO JOSE DO MANTIMENTO,MG
São Lourenço,MG,SAO LOURENCO,MG
São Miguel do Anta,MG,SAO MIGUEL DO ANTA,MG
São Pedro da União,MG,SAO PEDRO DA UNIAO,MG
São Pedro do Suaçuí,MG,SAO PEDRO DO SUACUI,MG
São Pedro dos Ferros,MG,SAO PEDRO DOS FERROS,MG
São Romão,MG,SAO ROMAO,MG
São Roque de Minas,MG,SAO ROQUE DE MINAS,MG
São Sebastião da Bela Vista,MG,SAO SEBASTIAO DA BELA VISTA,MG
São Sebastião da Vargem Alegre,MG,SAO SEBASTIAO DA VARGEM ALEGRE,MG
São Sebastião do Anta,MG,SAO SEBASTIAO DO ANTA,MG
São Sebastião do Maranhão,MG,SAO SEBASTIAO DO MARANHAO,MG
São Sebastião do Oeste,MG,SAO SEBASTIAO DO OESTE,MG
São Sebastião do Paraíso,MG,SAO SEBASTIAO DO PARAISO,MG
São Sebastião do Rio Preto,MG,SAO SEBASTIAO DO RIO PRETO,MG
São Sebastião do Rio Verde,MG,SAO SEBASTIAO DO RIO VERDE,MG
São Tiago,MG,SAO TIAGO,MG
São Tomás de Aquino,MG,SAO TOMAS DE AQUINO,MG
São Tomé das Letras,MG,SAO THOME DAS LETRAS,MG
São Vicente de Minas,MG,SAO VICENTE DE MINAS,MG
Sapucaí-Mirim,MG,SAPUCAI-MIRIM,MG
Sardoá,MG,SARDOA,MG
Sarzedo,MG,SARZEDO,MG
Sem-Peixe,MG,SEM-PEIXE,MG
Senador Amaral,MG,SENADOR AMARAL,MG
Senador Cortes,MG,SENADOR CORTES,MG
Senador Firmino,MG,SENADOR FIRMINO,MG
Senador José Bento,MG,SENADOR JOSE BENTO,MG
Senador Modestino Gonçalves,MG,SENADOR MODESTINO GONCALVES,MG
Senhora de Oliveira,MG,SENHORA DE OLIVEIRA,MG
Senhora do Porto,MG,SENHORA DO PORTO,MG
Senhora dos Remédios,MG,SENHORA DOS REMEDIOS,MG
Sericita,MG,SERICITA,MG
Seritinga,MG,SERITINGA,MG
Serra Azul de Minas,MG,SERRA AZUL DE MINAS,MG
Serra da Saudade,MG,SERRA DA SAUDADE,MG
Serra do Salitre,MG,SERRA DO SALITRE,MG
Serra dos Aimorés,MG,SERRA DOS AIMORES,MG
Serrania,MG,SERRANIA,MG
Serranópolis de Minas,MG,SERRANOPOLIS DE MINAS,MG
Serranos,MG,SERRANOS,MG
Serro,MG,SERRO,MG
Sete Lagoas,MG,SETE LAGOAS,MG
Setubinha,MG,SETUBINHA,MG
Silveirânia,MG,SILVEIRANIA,MG
Silvianópolis,MG,SILVIANOPOLIS,MG
Simão Pereira,MG,SIMAO PEREIRA,MG
Simonésia,MG,SIMONESIA,MG
Sobrália,MG,SOBRALIA,MG
Soledade de Minas,MG,SOLEDADE DE MINAS,MG
Tabuleiro,MG,TABULEIRO,MG
Taiobeiras,MG,TAIOBEIRAS,MG
Taparuba,MG,TAPARUBA,MG
Tapira,MG,TAPIRA,MG
Tapiraí,MG,TAPIRAI,MG
Taquaraçu de Minas,MG,TAQUARACU DE MINAS,MG
Tarumirim,MG,TARUMIRIM,MG
Teixeiras,MG,TEIXEIRAS,MG
Teófilo Otoni,MG,TEOFILO OTONI,MG
Timóteo,MG,TIMOTEO,MG
Tiradentes,MG,TIRADENTES,MG
Tiros,MG,TIROS,MG
Tocantins,MG,TOCANTINS,MG
Tocos do Moji,MG,TOCOS DO MOJI,MG
Toledo,MG,TOLEDO,MG
Tombos,MG,TOMBOS,MG
Três Corações,MG,TRES CORACOES,MG
Três Marias,MG,TRES MARIAS,MG
Três Pontas,MG,TRES PONTAS,MG
Tumiritinga,MG,TUMIRITINGA,MG
Tupaciguara,MG,TUPACIGUARA,MG
Turmalina,MG,TURMALINA,MG
Turvolândia,MG,TURVOLANDIA,MG
Ubá,MG,UBA,MG
Ubaí,MG,UBAI,MG
Ubaporanga,MG,UBAPORANGA,MG
Uberaba,MG,UBERABA,MG
Uberlândia,MG,UBERLANDIA,MG
Umburatiba,MG,UMBURATIBA,MG
Unaí,MG,UNAI,MG
União de Minas,MG,UNIAO DE MINAS,MG
Uruana de Minas,MG,URUANA DE MINAS,MG
Urucânia,MG,URUCANIA,MG
Urucuia,MG,URUCUIA,MG
Vargem Alegre,MG,VARGEM ALEGRE,MG
Vargem Bonita,MG,VARGEM BONITA,MG
Vargem Grande do Rio Pardo,MG,VARGEM GRANDE DO RIO PARDO,MG
Varginha,MG,VARGINHA,MG
Varjão de Minas,MG,VARJAO DE MINAS,MG
Várzea da Palma,MG,VARZEA DA PALMA,MG
Varzelândia,MG,VARZELANDIA,MG
Vazante,MG,VAZANTE,MG
Verdelândia,MG,VERDELANDIA,MG
Veredinha,MG,VEREDINHA,MG
Veríssimo,MG,VERISSIMO,MG
Vermelho Novo,MG,VERMELHO NOVO,MG
Vespasiano,MG,VESPASIANO,MG
Viçosa,MG,VICOSA,MG
Vieiras,MG,VIEIRAS,MG
Virgem da Lapa,MG,VIRGEM DA LAPA,MG
Virgínia,MG,VIRGINIA,MG
Virginópolis,MG,VIRGINOPOLIS,MG
Virgolândia,MG,VIRGOLANDIA,MG
Visconde do Rio Branco,MG,VISCONDE DO RIO BRANCO,MG
Volta Grande,MG,VOLTA GRANDE,MG
Wenceslau Braz,MG,WENCESLAU BRAZ,MG
Água Clara,MS,AGUA CLARA,MS
Alcinópolis,MS,ALCINOPOLIS,MS
Amambai,MS,AMAMBAI,MS
Anastácio,MS,ANASTACIO,MS
Anaurilândia,MS,ANAURILANDIA,MS
Angélica,MS,ANGELICA,MS
Antônio João,MS,ANTONIO JOAO,MS
Aparecida do Taboado,MS,APARECIDA DO TABOADO,MS
Aquidauana,MS,AQUIDAUANA,MS
Aral Moreira,MS,ARAL MOREIRA,MS
Bandeirantes,MS,BANDEIRANTES,MS
Bataguassu,MS,BATAGUASSU,MS
Batayporã,MS,BATAYPORA,MS
Bela Vista,MS,BELA VISTA,MS
Bodoquena,MS,BODOQUENA,MS
Bonito,MS,BONITO,MS
Brasilândia,MS,BRASILANDIA,MS
Caarapó,MS,CAARAPO,MS
Camapuã,MS,CAMAPUA,MS
Campo Grande,MS,CAMPO GRANDE,MS
Caracol,MS,CARACOL,MS
Cassilândia,MS,CASSILANDIA,MS
Chapadão do Sul,MS,CHAPADAO DO SUL,MS
Corguinho,MS,CORGUINHO,MS
Coronel Sapucaia,MS,CORONEL SAPUCAIA,MS
Corumbá,MS,CORUMBA,MS
Costa Rica,MS,COSTA RICA,MS
Coxim,MS,COXIM,MS
Deodápolis,MS,DEODAPOLIS,MS
Dois Irmãos do Buriti,MS,DOIS IRMAOS DO BURITI,MS
Douradina,MS,DOURADINA,MS
Dourados,MS,DOURADOS,MS
Eldorado,MS,ELDORADO,MS
Fátima do Sul,MS,FATIMA DO SUL,MS
Figueirão,MS,FIGUEIRAO,MS
Glória de Dourados,MS,GLORIA DE DOURADOS,MS
Guia Lopes da Laguna,MS,GUIA LOPES DA LAGUNA,MS
Iguatemi,MS,IGUATEMI,MS
Inocência,MS,INOCENCIA,MS
Itaporã,MS,ITAPORA,MS
Itaquiraí,MS,ITAQUIRAI,MS
Ivinhema,MS,IVINHEMA,MS
Japorã,MS,JAPORA,MS
Jaraguari,MS,JARAGUARI,MS
Jardim,MS,JARDIM,MS
Jateí,MS,JATEI,MS
Juti,MS,JUTI,MS
Ladário,MS,LADARIO,MS
Laguna Carapã,MS,LAGUNA CARAPA,MS
Maracaju,MS,MARACAJU,MS
Miranda,MS,MIRANDA,MS
Mundo Novo,MS,MUNDO NOVO,MS
Naviraí,MS,NAVIRAI,MS
Nioaque,MS,NIOAQUE,MS
Nova Alvorada do Sul,MS,NOVA ALVORADA DO SUL,MS
Nova Andradina,MS,NOVA ANDRADINA,MS
Novo Horizonte do Sul,MS,NOVO HORIZONTE DO SUL,MS
Paraíso das Águas,MS,PARAISO DAS AGUAS,MS
Paranaíba,MS,PARANAIBA,MS
Paranhos,MS,PARANHOS,MS
Pedro Gomes,MS,PEDRO GOMES,MS
Ponta Porã,MS,PONTA PORA,MS
Porto Murtinho,MS,PORTO MURTINHO,MS
Ribas do Rio Pardo,MS,RIBAS DO RIO PARDO,MS
Rio Brilhante,MS,RIO BRILHANTE,MS
Rio Negro,MS,RIO NEGRO,MS
Rio Verde de Mato Grosso,MS,RIO VERDE DE MATO GROSSO,MS
Rochedo,MS,ROCHEDO,MS
Santa Rita do Pardo,MS,SANTA RITA DO PARDO,MS
São Gabriel do Oeste,MS,SAO GABRIEL DO OESTE,MS
Selvíria,MS,SELVIRIA,MS
Sete Quedas,MS,SETE QUEDAS,MS
Sidrolândia,MS,SIDROLANDIA,MS
Sonora,MS,SONORA,MS
Tacuru,MS,TACURU,MS
Taquarussu,MS,TAQUARUSSU,MS
Terenos,MS,TERENOS,MS
Três Lagoas,MS,TRES LAGOAS,MS
Vicentina,MS,VICENTINA,MS
Acorizal,MT,ACORIZAL,MT
Água Boa,MT,AGUA BOA,MT
Alta Floresta,MT,ALTA FLORESTA,MT
Alto Araguaia,MT,ALTO ARAGUAIA,MT
Alto Boa Vista,MT,ALTO BOA VISTA,MT
Alto Garças,MT,ALTO GARCAS,MT
Alto Paraguai,MT,ALTO PARAGUAI,MT
Alto Taquari,MT,ALTO TAQUARI,MT
Apiacás,MT,APIACAS,MT
Araguaiana,MT,ARAGUAIANA,MT
Araguainha,MT,ARAGUAINHA,MT
Araputanga,MT,ARAPUTANGA,MT
Arenápolis,MT,ARENAPOLIS,MT
Aripuanã,MT,ARIPUANA,MT
Barão de Melgaço,MT,BARAO DE MELGACO,MT
Barra do Bugres,MT,BARRA DO BUGRES,MT
Barra do Garças,MT,BARRA DO GARCAS,MT
Bom Jesus do Araguaia,MT,BOM JESUS DO ARAGUAIA,MT
Brasnorte,MT,BRASNORTE,MT
Cáceres,MT,CACERES,MT
Campinápolis,MT,CAMPINAPOLIS,MT
Campo Novo do Parecis,MT,CAMPO NOVO DO PARECIS,MT
Campo Verde,MT,CAMPO VERDE,MT
Campos de Júlio,MT,CAMPOS DE JULIO,MT
Canabrava do Norte,MT,CANABRAVA DO NORTE,MT
Canarana,MT,CANARANA,MT
Carlinda,MT,CARLINDA,MT
Castanheira,MT,CASTANHEIRA,MT
Chapada dos Guimarães,MT,CHAPADA DOS GUIMARAES,MT
Cláudia,MT,CLAUDIA,MT
Cocalinho,MT,COCALINHO,MT
Colíder,MT,COLIDER,MT
Colniza,MT,COLNIZA,MT
Comodoro,MT,COMODORO,MT
Confresa,MT,CONFRESA,MT
Conquista D'Oeste,MT,CONQUISTA D'OESTE,MT
Cotriguaçu,MT,COTRIGUACU,MT
Cuiabá,MT,CUIABA,MT
Curvelândia,MT,CURVELANDIA,MT
Denise,MT,DENISE,MT
Diamantino,MT,DIAMANTINO,MT
Dom Aquino,MT,DOM AQUINO,MT
Feliz Natal,MT,FELIZ NATAL,MT
Figueirópolis D'Oeste,MT,FIGUEIROPOLIS D'OESTE,MT
Gaúcha do Norte,MT,GAUCHA DO NORTE,MT
General Carneiro,MT,GENERAL CARNEIRO,MT
Glória D'Oeste,MT,GLORIA D'OESTE,MT
Guarantã do Norte,MT,GUARANTA DO NORTE,MT
Guiratinga,MT,GUIRATINGA,MT
Indiavaí,MT,INDIAVAI,MT
Ipiranga do Norte,MT,IPIRANGA DO NORTE,MT
Itanhangá,MT,ITANHANGA,MT
Itaúba,MT,ITAUBA,MT
Itiquira,MT,ITIQUIRA,MT
Jaciara,MT,JACIARA,MT
Jangada,MT,JANGADA,MT
Jauru,MT,JAURU,MT
Juara,MT,JUARA,MT
Juína,MT,JUINA,MT
Juruena,MT,JURUENA,MT
Juscimeira,MT,JUSCIMEIRA,MT
Lambari D'Oeste,MT,LAMBARI D'OESTE,MT
Lucas do Rio Verde,MT,LUCAS DO RIO VERDE,MT
Luciara,MT,LUCIARA,MT
Marcelândia,MT,MARCELANDIA,MT
Matupá,MT,MATUPA,MT
Mirassol d'Oeste,MT,MIRASSOL D'OESTE,MT
Nobres,MT,NOBRES,MT
Nortelândia,MT,NORTELANDIA,MT
Nossa Senhora do Livramento,MT,NOSSA SENHORA DO LIVRAMENTO,MT
Nova Bandeirantes,MT,NOVA BANDEIRANTES,MT
Nova Brasilândia,MT,NOVA BRASILANDIA,MT
Nova Canaã do Norte,MT,NOVA CANAA DO NORTE,MT
Nova Guarita,MT,NOVA GUARITA,MT
Nova Lacerda,MT,NOVA LACERDA,MT
Nova Marilândia,MT,NOVA MARILANDIA,MT
Nova Maringá,MT,NOVA MARINGA,MT
Nova Monte Verde,MT,NOVA MONTE VERDE,MT
Nova Mutum,MT,NOVA MUTUM,MT
Nova Nazaré,MT,NOVA NAZARE,MT
Nova Olímpia,MT,NOVA OLIMPIA,MT
Nova Santa Helena,MT,NOVA SANTA HELENA,MT
Nova Ubiratã,MT,NOVA UBIRATA,MT
Nova Xavantina,MT,NOVA XAVANTINA,MT
